marker_index,user_id,comment_id,category_id,category_en,lon,lat,marker_text,text_len,num_likes,liker_ids
31,17704,28824,1,Appreciated bike path,-73.6772527722039,45.54012828108077,La bande cyclable glacée sous le viaduc du train était très dangereuse l'hiver avant le REV.,92,4,46286;54657;54431;55166
32,17704,28826,3,Missing bike path,-73.6799619684671,45.53610230728563,"L'accès au REM est important.  Présentement, c'est seulement en faisant un long détour par Dudemaine qui est une bande cyclable dangereuse l'hiver.",147,1,54431
33,17704,28834,2,Bike path needing improvement or adjustment,-73.66964941017227,45.55561758891133,"Continuer la bidirectionnelle du Pont Viau jusqu'au REV Henri-Bourassa.  Pour ceux qui vont vers l'est sur Henri-Bourassa, il ne feront pas un détour par Berri.",160,1,54632
34,17704,28835,2,Bike path needing improvement or adjustment,-73.66887808152052,45.56092004178837,Déneiger l'hiver jusqu'à Sophie-Barat pour les étudiants de l'ouest qui arrivent par Gouin et Sommerville.,106,1,46286
35,17704,28836,2,Bike path needing improvement or adjustment,-73.66932941130831,45.561609712540275,Déneiger l'hiver jusqu'à Sophie-Barat pour les étudiants de l'ouest qui arrivent par Gouin et Sommerville.,106,1,46286
36,17704,28837,2,Bike path needing improvement or adjustment,-73.67301023593002,45.55814257518256,Déneiger l'hiver jusqu'à Sophie-Barat pour les étudiants de l'ouest qui arrivent par Gouin et Sommerville.,106,1,46286
37,17704,28839,2,Bike path needing improvement or adjustment,-73.67456600794837,45.54655379895269,Les bandes cyclables peuvent causer de l'emportièrage et sont des dépôts à neige l'hiver. À sécuriser car utilisé par les enfants et parents des deux écoles (Celle sur Tolhurst et St-André),189,1,46286
38,17967,20308,2,Bike path needing improvement or adjustment,-73.62749431080456,45.601359205655285,"Il faut sécuriser encore plus cette piste. Cette première version est acceptable, mais pas assez pour que des enfants l'utilisent seuls.",136,8,19647;48301;23021;18289;19019;51050;52391;53767
39,17967,20309,1,Appreciated bike path,-73.65232909295007,45.57960030610272,Excellent lien cyclable qui permet à mes enfants d'aller en toute sécurité à vélo à l'école. Idem pour moi pour aller au métro Henri-Bourassa,141,20,48161;49560;48837;17968;23021;50396;48162;49044;51512;19020;48665;19019;50569;52109;51050;24078;22979;53724;50400;55312
40,17967,20310,2,Bike path needing improvement or adjustment,-73.65816490146516,45.57083075468449,augmenter le verdissement de la piste cyclable pour être protégé du soleil en été.,82,13,17968;23021;22927;18289;48725;49044;51506;19019;23899;51793;23696;52139;51050
41,17967,20311,2,Bike path needing improvement or adjustment,-73.56551824782078,45.53469180867924,"La piste RAchel est accidentogène, il faut la transformer en REV unidirectionnelles et verdir la nouvelle piste.",112,22,49905;48140;51291;51327;51377;51375;49147;51469;51482;51489;49394;49549;48445;51966;48310;51050;50468;53633;54122;48198;23051;55084
42,17967,20312,2,Bike path needing improvement or adjustment,-73.57824718934592,45.52174725338469,"L'intersection Rachel/Saint-Denis n'est pas du tout conviviale ni fonctionnelle. Il faut transformer Rachel en REV et créer un carrefour à la Hollandaise, comme sur Bellechasse/Christophe-Colomb",194,35,43376;48140;48965;51274;23154;51375;51401;51453;49394;49054;48620;51751;51777;45056;51783;48655;48700;20035;51986;52048;52073;48238;47554;52174;52315;51050;48894;45075;52498;48564;53816;53952;20249;54574;23051
43,17967,20313,3,Missing bike path,-73.55761218818665,45.513293960045786,"Il faut prolonger la piste René-Lévesque vers l'ouest pour éliminer le vide cyclable est-ouest au centre-ville. Le REV Viger et en bas de la pente, personne ne va descendre la pente pour remonter, de plus la piste Maisonneuve est saturée.",238,17,48140;51213;48316;46655;49044;51512;19019;18309;51927;51937;52083;51050;52528;48143;53469;53988;23138
44,17967,20314,3,Missing bike path,-73.56542132363974,45.50555657050464,Bleury se prêterait bien comme une continuité du lien cyclable plus au nord sur Du Parc car la pente est pas trop forte.,120,8,49046;51512;51542;51442;19019;51050;53333;53599
